sys_nm,species,cuid,cunamepse,region,GFE_ID,streamid,lat,lon
ECHO HARBOUR CREEK,Chum,801,East Haida Gwaii,Haida Gwaii,1606.0,416,52.69274362,-131.7717131
ECHO HARBOUR CREEK,Pink (even),811,East Haida Gwaii (even),Haida Gwaii,1606.0,4049,52.69274362,-131.7717131
EDWARDS CREEK,Chum,803,West Haida Gwaii,Haida Gwaii,1655.0,464,52.79714098,-131.9896669
FAIRBAIRN CREEK,Coho,807,East Haida Gwaii,Haida Gwaii,1698.0,2410,52.97575683,-131.6162664
FAIRFAX CREEK,Pink (odd),815,West Haida Gwaii (odd),Haida Gwaii,1650.0,4987,52.71762168,-131.9815563
FAIRFAX CREEK,Coho,808,West Haida Gwaii,Haida Gwaii,1650.0,2572,52.71762168,-131.9815563
FAIRFAX CREEK,Chum,803,West Haida Gwaii,Haida Gwaii,1650.0,459,52.71762168,-131.9815563
FAIRFAX CREEK,Pink (even),812,West Haida Gwaii (even),Haida Gwaii,1650.0,4079,52.71762168,-131.9815563
FAIRFAX CREEK,Lake sockeye,821,Fairfax,Haida Gwaii,1650.0,6061,52.71762168,-131.9815563
FAIRFAX INLET CREEK-OUTER,Chum,803,West Haida Gwaii,Haida Gwaii,1649.0,458,52.73734698,-132.0011617
FAIRFAX INLET CREEK-OUTER,Pink (even),812,West Haida Gwaii (even),Haida Gwaii,1649.0,4078,52.73734698,-132.0011617
FAIRFAX INLET CREEK-OUTER,River sockeye,818,West Haida Gwaii (river-type),Haida Gwaii,1649.0,6060,52.73734698,-132.0011617
FANNY CREEK,Chum,803,West Haida Gwaii,Haida Gwaii,1641.0,450,52.12743653,-131.1638721
FANNY CREEK,Coho,808,West Haida Gwaii,Haida Gwaii,1641.0,2566,52.12743653,-131.1638721
FLAMINGO INLET CREEK,Coho,808,West Haida Gwaii,Haida Gwaii,1646.0,2569,52.22324735,-131.3473692
FLAMINGO INLET CREEK,Pink (even),812,West Haida Gwaii (even),Haida Gwaii,1646.0,4076,52.22324735,-131.3473692
FLAMINGO INLET CREEK,Chum,803,West Haida Gwaii,Haida Gwaii,1646.0,455,52.22324735,-131.3473692
FLAT CREEK,Coho,808,West Haida Gwaii,Haida Gwaii,1654.0,2576,52.79116073,-131.9656837
FLAT CREEK,River sockeye,818,West Haida Gwaii (river-type),Haida Gwaii,1654.0,6065,52.79116073,-131.9656837
FLAT CREEK,Pink (odd),815,West Haida Gwaii (odd),Haida Gwaii,1654.0,4991,52.79116073,-131.9656837
FLAT CREEK,Pink (even),812,West Haida Gwaii (even),Haida Gwaii,1654.0,4083,52.79116073,-131.9656837
FLAT CREEK,Chum,803,West Haida Gwaii,Haida Gwaii,1654.0,463,52.79116073,-131.9656837
FORGOTTEN CREEK,Pink (even),811,East Haida Gwaii (even),Haida Gwaii,1620.0,4058,52.40044036,-131.4025023
FORGOTTEN CREEK,Coho,807,East Haida Gwaii,Haida Gwaii,1620.0,2548,52.40044036,-131.4025023
FORGOTTEN CREEK,Chum,801,East Haida Gwaii,Haida Gwaii,1620.0,429,52.40044036,-131.4025023
GATE CREEK,Chum,801,East Haida Gwaii,Haida Gwaii,1710.0,490,52.6643791,-131.4637691
GATE CREEK,Pink (odd),813,East Haida Gwaii (odd),Haida Gwaii,1710.0,5006,52.6643791,-131.4637691
GATE CREEK,Coho,807,East Haida Gwaii,Haida Gwaii,1710.0,2598,52.6643791,-131.4637691
GATE CREEK,Pink (even),811,East Haida Gwaii (even),Haida Gwaii,1710.0,4106,52.6643791,-131.4637691
GEORGE BAY CREEK,Coho,807,East Haida Gwaii,Haida Gwaii,1626.0,2553,52.30428629,-131.3415476
GEORGE BAY CREEK,Pink (even),811,East Haida Gwaii (even),Haida Gwaii,1626.0,4061,52.30428629,-131.3415476
GEORGE BAY CREEK,River sockeye,816,East Haida Gwaii (river-type),Haida Gwaii,1626.0,6058,52.30428629,-131.3415476
GEORGE BAY CREEK,Chum,801,East Haida Gwaii,Haida Gwaii,1626.0,435,52.30428629,-131.3415476
GIVENCHY ANCHORAGE CREEK,Chum,803,West Haida Gwaii,Haida Gwaii,1530.0,358,53.32508963,-132.5509878
GIVENCHY ANCHORAGE CREEK,Coho,808,West Haida Gwaii,Haida Gwaii,1530.0,2481,53.32508963,-132.5509878
GIVENCHY ANCHORAGE CREEK,Pink (odd),815,West Haida Gwaii (odd),Haida Gwaii,1530.0,4933,53.32508963,-132.5509878
GIVENCHY ANCHORAGE CREEK,Pink (even),812,West Haida Gwaii (even),Haida Gwaii,1530.0,3993,53.32508963,-132.5509878
GOLD HARBOUR CREEK,Pink (even),812,West Haida Gwaii (even),Haida Gwaii,1663.0,4091,52.93412712,-132.1316078
GOLD HARBOUR CREEK,Chum,803,West Haida Gwaii,Haida Gwaii,1663.0,472,52.93412712,-132.1316078
GOLD HARBOUR CREEK,River sockeye,818,West Haida Gwaii (river-type),Haida Gwaii,1663.0,6068,52.93412712,-132.1316078
GOLD HARBOUR CREEK,Coho,808,West Haida Gwaii,Haida Gwaii,1663.0,2583,52.93412712,-132.1316078
GONA POINT CREEK,Chum,801,East Haida Gwaii,Haida Gwaii,1634.0,443,52.2800947,-131.1294039
GORE BROOK,Pink (even),811,East Haida Gwaii (even),Haida Gwaii,1508.0,3973,53.25424524,-132.1006245
GORE BROOK,Chum,804,Skidegate,Haida Gwaii,1508.0,338,53.25424524,-132.1006245
GORE BROOK,Coho,807,East Haida Gwaii,Haida Gwaii,1508.0,2459,53.25424524,-132.1006245
GOSKI BAY CREEK,Pink (even),812,West Haida Gwaii (even),Haida Gwaii,1648.0,4077,52.43990233,-131.5507965
GOSKI BAY CREEK,Chum,803,West Haida Gwaii,Haida Gwaii,1648.0,457,52.43990233,-131.5507965
GOSKI BAY CREEK,Coho,808,West Haida Gwaii,Haida Gwaii,1648.0,2571,52.43990233,-131.5507965
GRAY BAY CREEK,Chum,801,East Haida Gwaii,Haida Gwaii,1581.0,196,53.13150693,-131.7059202
GRAY BAY CREEK,Coho,807,East Haida Gwaii,Haida Gwaii,1581.0,2307,53.13150693,-131.7059202
GRAY BAY CREEK,Pink (even),811,East Haida Gwaii (even),Haida Gwaii,1581.0,3877,53.13150693,-131.7059202
GRAY BAY CREEKS-OTHERS,Coho,807,East Haida Gwaii,Haida Gwaii,7990619.0,2415,53.13087601,-131.7079268
GREGORY CREEK,Pink (even),812,West Haida Gwaii (even),Haida Gwaii,1541.0,3927,53.40344973,-132.5203675
GREGORY CREEK,Coho,808,West Haida Gwaii,Haida Gwaii,1541.0,2386,53.40344973,-132.5203675
GREGORY CREEK,Pink (odd),815,West Haida Gwaii (odd),Haida Gwaii,1541.0,4897,53.40344973,-132.5203675
GUDAL CREEK,Coho,808,West Haida Gwaii,Haida Gwaii,1528.0,2479,53.23150341,-132.5630774
GUDAL CREEK,River sockeye,818,West Haida Gwaii (river-type),Haida Gwaii,1528.0,6033,53.23150341,-132.5630774
HAANS CREEK,Pink (odd),813,East Haida Gwaii (odd),Haida Gwaii,1690.0,4907,53.23790532,-131.8678639
HAANS CREEK,Coho,809,Haida Gwaii-Graham Island Lowlands,Haida Gwaii,1690.0,2402,53.23790532,-131.8678639
HAANS CREEK,Pink (even),811,East Haida Gwaii (even),Haida Gwaii,1690.0,3944,53.23790532,-131.8678639
HAANS CREEK,Chum,801,East Haida Gwaii,Haida Gwaii,1690.0,290,53.23790532,-131.8678639
HAIDA CREEK,Coho,807,East Haida Gwaii,Haida Gwaii,1616.0,2544,52.43029178,-131.4246787
HAIDA CREEK,Chum,801,East Haida Gwaii,Haida Gwaii,1616.0,425,52.43029178,-131.4246787
HARRIET CREEK,Chum,801,East Haida Gwaii,Haida Gwaii,1631.0,440,52.29242549,-131.2181894
HARRIET CREEK,Coho,807,East Haida Gwaii,Haida Gwaii,1631.0,2558,52.29242549,-131.2181894
HARRIET CREEK,Pink (even),811,East Haida Gwaii (even),Haida Gwaii,1631.0,4065,52.29242549,-131.2181894
